assigned_to_detail,id,creator_detail,resolution,creator,last_change_time,priority,status,dupe_of,component,severity,assigned_to,creation_time,product
"{'email': 'hallski', 'name': 'hallski', 'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)'}",203,"{'name': 'cami', 'email': 'cami', 'id': 49, 'real_name': ''}",FIXED,cami,2003-02-04T19:42:18Z,Normal,RESOLVED,,Current packages,normal,hallski,2002-01-17T00:06:45Z,Gentoo Linux
"{'id': 8, 'real_name': 'Daniel Robbins (RETIRED)', 'name': 'drobbins', 'email': 'drobbins'}",204,"{'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'email': 'hallski', 'name': 'hallski'}",FIXED,hallski,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,normal,drobbins,2002-01-17T03:19:00Z,Gentoo Linux
"{'real_name': 'Geert Bevin', 'id': 5, 'email': 'gbevin', 'name': 'gbevin'}",205,"{'real_name': 'aeoo', 'id': 80, 'name': 'aeoo', 'email': 'aeoo'}",DUPLICATE,aeoo,2011-10-30T22:19:13Z,High,RESOLVED,278.0,Unclassified,enhancement,gbevin,2002-01-17T03:33:52Z,Portage Development
"{'email': 'hallski', 'name': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",206,"{'email': 'm0rpheus', 'name': 'm0rpheus', 'id': 59, 'real_name': 'Ferry Meyndert'}",FIXED,m0rpheus,2007-09-13T20:44:51Z,High,RESOLVED,,[OLD] Core system,normal,hallski,2002-01-17T04:31:33Z,Gentoo Linux
"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'email': 'hallski', 'name': 'hallski'}",207,"{'name': 'm0rpheus', 'email': 'm0rpheus', 'real_name': 'Ferry Meyndert', 'id': 59}",FIXED,m0rpheus,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,hallski,2002-01-17T06:50:37Z,Gentoo Linux
"{'name': 'woodchip', 'email': 'woodchip', 'real_name': 'Donny Davies (RETIRED)', 'id': 13}",208,"{'id': 87, 'real_name': 'Sander Balkenende', 'name': 'sbalk', 'email': 'sbalk'}",FIXED,sbalk,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,normal,woodchip,2002-01-17T10:17:17Z,Gentoo Linux
"{'real_name': 'Donny Davies (RETIRED)', 'id': 13, 'email': 'woodchip', 'name': 'woodchip'}",209,"{'name': 'karltk', 'email': 'karltk', 'real_name': 'Karl Trygve Kalleberg (RETIRED)', 'id': 19}",FIXED,karltk,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Server,normal,woodchip,2002-01-17T10:44:19Z,Gentoo Linux
"{'real_name': 'John Davis (zhen) (RETIRED)', 'id': 1972, 'name': 'zhen', 'email': 'zhen'}",210,"{'id': 80, 'real_name': 'aeoo', 'email': 'aeoo', 'name': 'aeoo'}",DUPLICATE,aeoo,2011-10-30T23:14:36Z,High,RESOLVED,71.0,Bugzilla,major,zhen,2002-01-17T11:17:28Z,Gentoo Infrastructure
"{'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'name': 'hallski', 'email': 'hallski'}",211,"{'id': 59, 'real_name': 'Ferry Meyndert', 'name': 'm0rpheus', 'email': 'm0rpheus'}",FIXED,m0rpheus,2003-02-04T19:42:18Z,High,RESOLVED,,New packages,normal,hallski,2002-01-17T12:52:38Z,Gentoo Linux
"{'email': 'hallski', 'name': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",212,"{'email': 'm0rpheus', 'name': 'm0rpheus', 'real_name': 'Ferry Meyndert', 'id': 59}",FIXED,m0rpheus,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,trivial,hallski,2002-01-17T13:13:45Z,Gentoo Linux
"{'email': 'drobbins', 'name': 'drobbins', 'real_name': 'Daniel Robbins (RETIRED)', 'id': 8}",213,"{'id': 61, 'real_name': 'Jason Draugluin Ritchie', 'email': 'jasonr', 'name': 'jasonr'}",FIXED,jasonr,2011-10-30T22:20:10Z,Low,RESOLVED,,Unclassified,minor,drobbins,2002-01-17T13:27:40Z,Portage Development
"{'id': 5, 'real_name': 'Geert Bevin', 'name': 'gbevin', 'email': 'gbevin'}",214,"{'name': 'gila', 'email': 'gila', 'real_name': 'Jeffry', 'id': 78}",FIXED,gila,2003-01-28T00:30:44Z,High,RESOLVED,,[OLD] Library,normal,gbevin,2002-01-17T16:09:55Z,Gentoo Linux
"{'name': 'woodchip', 'email': 'woodchip', 'real_name': 'Donny Davies (RETIRED)', 'id': 13}",215,"{'name': 'jan.sabbe', 'email': 'jan.sabbe', 'id': 68, 'real_name': 'Jan Sabbe'}",FIXED,jan.sabbe,2002-02-08T18:02:55Z,High,RESOLVED,,[OLD] Server,normal,woodchip,2002-01-17T16:35:40Z,Gentoo Linux
"{'real_name': 'Dan Armak (RETIRED)', 'id': 10, 'email': 'danarmak', 'name': 'danarmak'}",216,"{'real_name': 'Daniel Mettler', 'id': 88, 'name': 'mettlerd', 'email': 'mettlerd'}",FIXED,mettlerd,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] KDE,major,danarmak,2002-01-17T18:52:05Z,Gentoo Linux
"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'name': 'hallski', 'email': 'hallski'}",217,"{'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'email': 'hallski', 'name': 'hallski'}",FIXED,hallski,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,hallski,2002-01-18T03:33:09Z,Gentoo Linux
"{'id': 5, 'real_name': 'Geert Bevin', 'email': 'gbevin', 'name': 'gbevin'}",218,"{'real_name': 'Vitaly Kushneriuk', 'id': 32, 'name': 'vitaly_kushneriuk', 'email': 'vitaly_kushneriuk'}",FIXED,vitaly_kushneriuk,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,gbevin,2002-01-18T03:40:34Z,Gentoo Linux
"{'email': 'gbevin', 'name': 'gbevin', 'real_name': 'Geert Bevin', 'id': 5}",219,"{'real_name': 'Jan Sabbe', 'id': 68, 'name': 'jan.sabbe', 'email': 'jan.sabbe'}",FIXED,jan.sabbe,2011-10-30T22:20:53Z,High,RESOLVED,,Unclassified,enhancement,gbevin,2002-01-18T05:34:45Z,Portage Development
"{'real_name': 'Martin Schlemmer (RETIRED)', 'id': 12, 'name': 'azarah', 'email': 'azarah'}",220,"{'id': 90, 'real_name': 'Maciek', 'email': 'MacBerry', 'name': 'MacBerry'}",FIXED,MacBerry,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,enhancement,azarah,2002-01-18T06:23:04Z,Gentoo Linux
"{'id': 8, 'real_name': 'Daniel Robbins (RETIRED)', 'name': 'drobbins', 'email': 'drobbins'}",221,"{'name': 'carlos', 'email': 'carlos', 'real_name': 'Carlos Eberhardt', 'id': 92}",FIXED,carlos,2011-10-30T22:20:47Z,Normal,RESOLVED,,Unclassified,minor,drobbins,2002-01-18T11:06:37Z,Portage Development
"{'id': 1311, 'real_name': 'Eric Stockbridge', 'name': 'stocke2', 'email': 'stocke2'}",222,"{'real_name': 'Stephen', 'id': 93, 'name': 'ween', 'email': 'ween'}",DUPLICATE,ween,2005-07-17T13:06:51Z,High,RESOLVED,11267.0,Other,normal,stocke2,2002-01-18T12:31:51Z,[OLD] Docs-user
"{'real_name': 'Karl Trygve Kalleberg (RETIRED)', 'id': 19, 'email': 'karltk', 'name': 'karltk'}",223,"{'id': 94, 'real_name': 'Kevin Gordon (New Zealand)', 'name': 'kgordon', 'email': 'kgordon'}",FIXED,kgordon,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,karltk,2002-01-18T13:22:08Z,Gentoo Linux
"{'email': 'hallski', 'name': 'hallski', 'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)'}",224,"{'id': 63, 'real_name': 'Naresh Donti', 'email': 'ndonti', 'name': 'ndonti'}",FIXED,ndonti,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] GNOME,critical,hallski,2002-01-18T16:44:46Z,Gentoo Linux
"{'real_name': 'Martin Schlemmer (RETIRED)', 'id': 12, 'name': 'azarah', 'email': 'azarah'}",225,"{'name': 'kalenp', 'email': 'kalenp', 'id': 96, 'real_name': 'Kalen Petersen'}",FIXED,kalenp,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,normal,azarah,2002-01-18T17:33:58Z,Gentoo Linux
"{'email': 'hallski', 'name': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",226,"{'id': 97, 'real_name': 'Aniruddha Shankar', 'name': 'k', 'email': 'k'}",FIXED,k,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] GNOME,normal,hallski,2002-01-18T19:35:22Z,Gentoo Linux
"{'email': 'gbevin', 'name': 'gbevin', 'id': 5, 'real_name': 'Geert Bevin'}",227,"{'id': 99, 'real_name': 'Kent Pirkle', 'name': 'kentpirkle', 'email': 'kentpirkle'}",FIXED,kentpirkle,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Library,normal,gbevin,2002-01-18T22:56:12Z,Gentoo Linux
"{'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'name': 'hallski', 'email': 'hallski'}",228,"{'email': 'taras.glek', 'name': 'taras.glek', 'id': 100, 'real_name': 'Taras Glek[judge]'}",FIXED,taras.glek,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,hallski,2002-01-18T23:30:22Z,Gentoo Linux
"{'email': 'danarmak', 'name': 'danarmak', 'real_name': 'Dan Armak (RETIRED)', 'id': 10}",229,"{'real_name': '', 'id': 98, 'name': 'nitram.obregad', 'email': 'nitram.obregad'}",DUPLICATE,nitram.obregad,2005-07-17T13:06:51Z,High,RESOLVED,164.0,[OLD] KDE,normal,danarmak,2002-01-18T23:49:11Z,Gentoo Linux
"{'name': 'hallski', 'email': 'hallski', 'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)'}",230,"{'real_name': 'Thomas Berton', 'id': 91, 'name': 'kreno', 'email': 'kreno'}",INVALID,kreno,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,hallski,2002-01-19T04:33:36Z,Gentoo Linux
"{'real_name': 'Geert Bevin', 'id': 5, 'email': 'gbevin', 'name': 'gbevin'}",231,"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'email': 'hallski', 'name': 'hallski'}",FIXED,hallski,2011-10-30T22:20:15Z,High,RESOLVED,,Unclassified,enhancement,gbevin,2002-01-19T04:56:28Z,Portage Development
"{'real_name': 'Martin Schlemmer (RETIRED)', 'id': 12, 'name': 'azarah', 'email': 'azarah'}",232,"{'email': 'kreno', 'name': 'kreno', 'id': 91, 'real_name': 'Thomas Berton'}",FIXED,kreno,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Library,minor,azarah,2002-01-19T05:24:20Z,Gentoo Linux
"{'email': 'rac', 'name': 'rac', 'real_name': 'Robert Coie (RETIRED)', 'id': 1212}",233,"{'name': 'hallski', 'email': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",TEST-REQUEST,hallski,2005-07-13T06:02:03Z,High,RESOLVED,,Current packages,critical,rac,2002-01-19T06:46:32Z,Gentoo Linux
"{'id': 156, 'real_name': 'Leo Lipelis (RETIRED)', 'email': 'aeoo', 'name': 'aeoo'}",234,"{'name': 'ekarttun', 'email': 'ekarttun', 'real_name': 'Einar Karttunen', 'id': 7}",FIXED,ekarttun,2004-02-04T23:14:25Z,High,RESOLVED,,Current packages,minor,aeoo,2002-01-19T07:25:32Z,Gentoo Linux
"{'email': 'azarah', 'name': 'azarah', 'real_name': 'Martin Schlemmer (RETIRED)', 'id': 12}",235,"{'real_name': 'Owain Hopkins', 'id': 101, 'name': 'erazor', 'email': 'erazor'}",FIXED,erazor,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,major,azarah,2002-01-19T09:41:15Z,Gentoo Linux
"{'id': 5, 'real_name': 'Geert Bevin', 'email': 'gbevin', 'name': 'gbevin'}",236,"{'email': 'danarmak', 'name': 'danarmak', 'real_name': 'Dan Armak (RETIRED)', 'id': 10}",FIXED,danarmak,2003-01-28T00:30:44Z,High,VERIFIED,,[OLD] Library,normal,gbevin,2002-01-19T11:41:33Z,Gentoo Linux
"{'real_name': 'Daniel Robbins (RETIRED)', 'id': 8, 'name': 'drobbins', 'email': 'drobbins'}",237,"{'id': 59, 'real_name': 'Ferry Meyndert', 'name': 'm0rpheus', 'email': 'm0rpheus'}",FIXED,m0rpheus,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,major,drobbins,2002-01-19T13:19:16Z,Gentoo Linux
"{'email': 'g2boojum', 'name': 'g2boojum', 'real_name': 'Grant Goodyear (RETIRED)', 'id': 9}",238,"{'real_name': 'aeoo', 'id': 80, 'email': 'aeoo', 'name': 'aeoo'}",FIXED,aeoo,2002-12-15T21:08:48Z,High,VERIFIED,,Other,normal,g2boojum,2002-01-19T14:26:59Z,[OLD] Docs-user
"{'email': 'bart', 'name': 'bart', 'real_name': 'Bart Verwilst', 'id': 14}",239,"{'name': 'jano', 'email': 'jano', 'real_name': 'jano lukac', 'id': 70}",FIXED,jano,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Games,enhancement,bart,2002-01-19T15:26:52Z,Gentoo Linux
"{'email': 'drobbins', 'name': 'drobbins', 'real_name': 'Daniel Robbins (RETIRED)', 'id': 8}",240,"{'id': 103, 'real_name': 'Wesley Moxam', 'name': 'wmoxam', 'email': 'wmoxam'}",FIXED,wmoxam,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,normal,drobbins,2002-01-19T16:26:39Z,Gentoo Linux
"{'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'email': 'hallski', 'name': 'hallski'}",241,"{'name': 'ekarttun', 'email': 'ekarttun', 'real_name': 'Einar Karttunen', 'id': 7}",FIXED,ekarttun,2002-01-20T07:42:23Z,High,RESOLVED,,[OLD] GNOME,normal,hallski,2002-01-20T05:42:06Z,Gentoo Linux
"{'email': 'azarah', 'name': 'azarah', 'id': 12, 'real_name': 'Martin Schlemmer (RETIRED)'}",242,"{'real_name': 'Vitaly Kushneriuk', 'id': 32, 'name': 'vitaly_kushneriuk', 'email': 'vitaly_kushneriuk'}",FIXED,vitaly_kushneriuk,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,major,azarah,2002-01-20T07:23:09Z,Gentoo Linux
"{'id': 12, 'real_name': 'Martin Schlemmer (RETIRED)', 'email': 'azarah', 'name': 'azarah'}",243,"{'email': 'hallski', 'name': 'hallski', 'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)'}",FIXED,hallski,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,azarah,2002-01-20T09:18:41Z,Gentoo Linux
"{'real_name': 'Daniel Robbins (RETIRED)', 'id': 8, 'name': 'drobbins', 'email': 'drobbins'}",244,"{'email': 'busterb', 'name': 'busterb', 'id': 40, 'real_name': 'Brent Cook'}",FIXED,busterb,2003-02-04T19:42:18Z,High,RESOLVED,,New packages,trivial,drobbins,2002-01-20T11:14:44Z,Gentoo Linux
"{'id': 12, 'real_name': 'Martin Schlemmer (RETIRED)', 'email': 'azarah', 'name': 'azarah'}",245,"{'real_name': 'Lars S. Jensen', 'id': 76, 'name': 'larssj', 'email': 'larssj'}",FIXED,larssj,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,normal,azarah,2002-01-20T11:21:56Z,Gentoo Linux
"{'id': 8, 'real_name': 'Daniel Robbins (RETIRED)', 'name': 'drobbins', 'email': 'drobbins'}",246,"{'email': 'mkrainer', 'name': 'mkrainer', 'real_name': 'Markus Krainer', 'id': 107}",FIXED,mkrainer,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,normal,drobbins,2002-01-20T13:32:00Z,Gentoo Linux
"{'real_name': 'Leo Lipelis (RETIRED)', 'id': 156, 'name': 'aeoo', 'email': 'aeoo'}",247,"{'real_name': '', 'id': 108, 'name': 'bnl', 'email': 'bnl'}",FIXED,bnl,2002-02-02T03:03:38Z,High,RESOLVED,,[OLD] GNOME,enhancement,aeoo,2002-01-20T18:00:40Z,Gentoo Linux
"{'name': 'hallski', 'email': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",248,"{'real_name': '', 'id': 108, 'email': 'bnl', 'name': 'bnl'}",DUPLICATE,bnl,2005-07-17T13:06:51Z,High,RESOLVED,250.0,New packages,enhancement,hallski,2002-01-20T18:02:49Z,Gentoo Linux
"{'email': 'hallski', 'name': 'hallski', 'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2}",249,"{'name': 'bnl', 'email': 'bnl', 'id': 108, 'real_name': ''}",DUPLICATE,bnl,2005-07-17T13:06:51Z,High,RESOLVED,250.0,New packages,enhancement,hallski,2002-01-20T18:03:53Z,Gentoo Linux
"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'name': 'hallski', 'email': 'hallski'}",250,"{'real_name': '', 'id': 108, 'email': 'bnl', 'name': 'bnl'}",DUPLICATE,bnl,2005-07-17T13:06:51Z,High,RESOLVED,367.0,[OLD] Library,enhancement,hallski,2002-01-20T18:04:59Z,Gentoo Linux
"{'name': 'blocke', 'email': 'blocke', 'real_name': 'Bruce A. Locke (RETIRED)', 'id': 171}",251,"{'real_name': 'jano lukac', 'id': 70, 'name': 'jano', 'email': 'jano'}",FIXED,jano,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Games,enhancement,blocke,2002-01-20T18:39:33Z,Gentoo Linux
"{'id': 140, 'real_name': 'Michael Cohen (RETIRED)', 'name': 'mjc', 'email': 'mjc'}",252,"{'id': 111, 'real_name': 'Ingo Luetkebohle', 'email': 'gentoo', 'name': 'gentoo'}",FIXED,gentoo,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,normal,mjc,2002-01-20T21:19:10Z,Gentoo Linux
"{'name': 'aeoo', 'email': 'aeoo', 'real_name': 'Leo Lipelis (RETIRED)', 'id': 156}",253,"{'id': 109, 'real_name': 'Matthew Jimenez', 'name': 'Jimmermouse', 'email': 'Jimmermouse'}",FIXED,Jimmermouse,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,enhancement,aeoo,2002-01-20T21:21:52Z,Gentoo Linux
"{'email': 'drobbins', 'name': 'drobbins', 'id': 8, 'real_name': 'Daniel Robbins (RETIRED)'}",254,"{'id': 112, 'real_name': 'Shawn Starr', 'email': 'spstarr', 'name': 'spstarr'}",FIXED,spstarr,2002-01-20T22:19:24Z,High,RESOLVED,,[OLD] Core system,blocker,drobbins,2002-01-20T21:36:23Z,Gentoo Linux
"{'name': 'hallski', 'email': 'hallski', 'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)'}",255,"{'real_name': 'jano lukac', 'id': 70, 'email': 'jano', 'name': 'jano'}",FIXED,jano,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,hallski,2002-01-20T21:41:21Z,Gentoo Linux
"{'id': 290, 'real_name': 'Brandon Low (RETIRED)', 'name': 'lostlogic', 'email': 'lostlogic'}",256,"{'id': 114, 'real_name': 'Sergei Rodionov', 'email': 'sergei', 'name': 'sergei'}",INVALID,sergei,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,major,lostlogic,2002-01-21T00:10:45Z,Gentoo Linux
"{'real_name': 'Mikael Hallendal (hallski) (RETIRED)', 'id': 2, 'name': 'hallski', 'email': 'hallski'}",257,"{'id': 102, 'real_name': 'JP Sartre', 'name': 'jpsartre', 'email': 'jpsartre'}",FIXED,jpsartre,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,hallski,2002-01-21T01:15:56Z,Gentoo Linux
"{'email': 'm0rpheus', 'name': 'm0rpheus', 'real_name': 'Ferry Meyndert (RETIRED)', 'id': 224}",258,"{'email': 'ekarttun', 'name': 'ekarttun', 'real_name': 'Einar Karttunen', 'id': 7}",FIXED,ekarttun,2002-02-04T15:23:04Z,High,RESOLVED,,Current packages,normal,m0rpheus,2002-01-21T01:21:54Z,Gentoo Linux
"{'name': 'azarah', 'email': 'azarah', 'real_name': 'Martin Schlemmer (RETIRED)', 'id': 12}",259,"{'name': 'Sandy', 'email': 'Sandy', 'id': 115, 'real_name': 'Sandy McArthur'}",FIXED,Sandy,2003-02-04T19:42:18Z,High,RESOLVED,,New packages,blocker,azarah,2002-01-21T01:39:03Z,Gentoo Linux
"{'email': 'bcowan', 'name': 'bcowan', 'id': 1920, 'real_name': 'Brad Cowan (RETIRED)'}",260,"{'email': 'nrb23', 'name': 'nrb23', 'real_name': 'Nicholas Burlett', 'id': 116}",FIXED,nrb23,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,normal,bcowan,2002-01-21T09:34:49Z,Gentoo Linux
"{'real_name': 'Michael Cohen (RETIRED)', 'id': 140, 'email': 'mjc', 'name': 'mjc'}",261,"{'email': 'busterb', 'name': 'busterb', 'real_name': 'Brent Cook', 'id': 40}",FIXED,busterb,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,critical,mjc,2002-01-21T11:59:19Z,Gentoo Linux
"{'real_name': 'Geert Bevin', 'id': 5, 'name': 'gbevin', 'email': 'gbevin'}",262,"{'email': 'danarmak', 'name': 'danarmak', 'real_name': 'Dan Armak (RETIRED)', 'id': 10}",FIXED,danarmak,2002-01-29T15:28:00Z,High,RESOLVED,,[OLD] Library,normal,gbevin,2002-01-21T12:35:49Z,Gentoo Linux
"{'name': 'woodchip', 'email': 'woodchip', 'real_name': 'Donny Davies (RETIRED)', 'id': 13}",263,"{'id': 16, 'real_name': 'Michael Tartsch', 'name': 'gentoo', 'email': 'gentoo'}",DUPLICATE,gentoo,2005-07-17T13:06:51Z,High,RESOLVED,589.0,[OLD] Server,enhancement,woodchip,2002-01-21T17:36:13Z,Gentoo Linux
"{'name': 'drobbins', 'email': 'drobbins', 'real_name': 'Daniel Robbins (RETIRED)', 'id': 8}",264,"{'id': 123, 'real_name': 'Aaron Malone', 'email': 'aaron', 'name': 'aaron'}",FIXED,aaron,2003-02-04T19:42:18Z,Normal,RESOLVED,,[OLD] Core system,minor,drobbins,2002-01-21T17:51:57Z,Gentoo Linux
"{'real_name': 'Martin Schlemmer (RETIRED)', 'id': 12, 'name': 'azarah', 'email': 'azarah'}",265,"{'name': 'gentoo', 'email': 'gentoo', 'real_name': 'Ingo Luetkebohle', 'id': 111}",FIXED,gentoo,2003-02-04T19:42:18Z,High,RESOLVED,,Current packages,normal,azarah,2002-01-21T22:15:39Z,Gentoo Linux
"{'email': 'mjc', 'name': 'mjc', 'real_name': 'Michael Cohen (RETIRED)', 'id': 140}",266,"{'name': 'jasonc', 'email': 'jasonc', 'id': 127, 'real_name': 'Jason Cook'}",FIXED,jasonc,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,major,mjc,2002-01-21T22:48:29Z,Gentoo Linux
"{'name': 'hallski', 'email': 'hallski', 'id': 2, 'real_name': 'Mikael Hallendal (hallski) (RETIRED)'}",267,"{'id': 123, 'real_name': 'Aaron Malone', 'email': 'aaron', 'name': 'aaron'}",FIXED,aaron,2003-02-04T19:42:18Z,Low,RESOLVED,,[OLD] GNOME,minor,hallski,2002-01-21T23:06:16Z,Gentoo Linux
"{'name': 'gbevin', 'email': 'gbevin', 'real_name': 'Geert Bevin', 'id': 5}",268,"{'real_name': 'Vitaly Kushneriuk', 'id': 32, 'email': 'vitaly_kushneriuk', 'name': 'vitaly_kushneriuk'}",FIXED,vitaly_kushneriuk,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,normal,gbevin,2002-01-22T02:57:46Z,Gentoo Linux
"{'id': 1972, 'real_name': 'John Davis (zhen) (RETIRED)', 'name': 'zhen', 'email': 'zhen'}",269,"{'id': 129, 'real_name': 'Martin Dalum', 'name': 'garfield', 'email': 'garfield'}",FIXED,garfield,2011-10-30T23:15:50Z,High,RESOLVED,,Bugzilla,major,zhen,2002-01-22T10:20:21Z,Gentoo Infrastructure
"{'real_name': 'Dan Armak (RETIRED)', 'id': 10, 'name': 'danarmak', 'email': 'danarmak'}",270,"{'real_name': 'Christian Rubbert', 'id': 39, 'email': 'ceed', 'name': 'ceed'}",FIXED,ceed,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] GNOME,normal,danarmak,2002-01-22T12:00:35Z,Gentoo Linux
"{'real_name': 'Dan Armak (RETIRED)', 'id': 10, 'name': 'danarmak', 'email': 'danarmak'}",271,"{'id': 39, 'real_name': 'Christian Rubbert', 'email': 'ceed', 'name': 'ceed'}",FIXED,ceed,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] KDE,normal,danarmak,2002-01-22T12:04:57Z,Gentoo Linux
"{'id': 8, 'real_name': 'Daniel Robbins (RETIRED)', 'email': 'drobbins', 'name': 'drobbins'}",272,"{'real_name': 'Jules Gagnon', 'id': 95, 'email': 'eonwe', 'name': 'eonwe'}",FIXED,eonwe,2003-02-04T19:42:18Z,High,VERIFIED,,Other,normal,drobbins,2002-01-22T13:41:45Z,[OLD] Docs-user
"{'real_name': 'Donny Davies (RETIRED)', 'id': 13, 'name': 'woodchip', 'email': 'woodchip'}",273,"{'name': 'karltk', 'email': 'karltk', 'id': 19, 'real_name': 'Karl Trygve Kalleberg (RETIRED)'}",FIXED,karltk,2011-10-30T22:20:14Z,High,RESOLVED,,Unclassified,normal,woodchip,2002-01-22T14:33:44Z,Portage Development
"{'name': 'drobbins', 'email': 'drobbins', 'id': 8, 'real_name': 'Daniel Robbins (RETIRED)'}",274,"{'name': 'karltk', 'email': 'karltk', 'id': 19, 'real_name': 'Karl Trygve Kalleberg (RETIRED)'}",FIXED,karltk,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,normal,drobbins,2002-01-22T14:40:26Z,Gentoo Linux
"{'id': 8, 'real_name': 'Daniel Robbins (RETIRED)', 'name': 'drobbins', 'email': 'drobbins'}",275,"{'id': 115, 'real_name': 'Sandy McArthur', 'name': 'Sandy', 'email': 'Sandy'}",FIXED,Sandy,2003-02-04T19:42:18Z,Lowest,RESOLVED,,[OLD] Core system,enhancement,drobbins,2002-01-22T15:47:50Z,Gentoo Linux
"{'real_name': 'Martin Schlemmer (RETIRED)', 'id': 12, 'email': 'azarah', 'name': 'azarah'}",276,"{'id': 68, 'real_name': 'Jan Sabbe', 'email': 'jan.sabbe', 'name': 'jan.sabbe'}",FIXED,jan.sabbe,2002-01-23T12:46:58Z,High,RESOLVED,,[OLD] Core system,normal,azarah,2002-01-22T16:37:56Z,Gentoo Linux
"{'name': 'danarmak', 'email': 'danarmak', 'real_name': 'Dan Armak (RETIRED)', 'id': 10}",277,"{'id': 90, 'real_name': 'Maciek', 'email': 'MacBerry', 'name': 'MacBerry'}",FIXED,MacBerry,2002-01-25T13:28:10Z,High,RESOLVED,,[OLD] KDE,enhancement,danarmak,2002-01-22T16:38:14Z,Gentoo Linux
"{'id': 8, 'real_name': 'Daniel Robbins (RETIRED)', 'email': 'drobbins', 'name': 'drobbins'}",278,"{'id': 5, 'real_name': 'Geert Bevin', 'name': 'gbevin', 'email': 'gbevin'}",FIXED,gbevin,2003-02-04T19:42:18Z,High,RESOLVED,,[OLD] Core system,normal,drobbins,2002-01-22T17:34:17Z,Gentoo Linux
